Cohort Pledge year	0	1	2	3	4	5	6	7	8	9	10	11	12
2009	0.31	0.31	0.66	0.66	0.56	0.56	0.59	0.38	0.41	0.41	0.44	0.31	0.38
2010	0.25	0.67	0.67	0.61	0.5	0.44	0.33	0.28	0.31	0.33	0.36	0.33	
2011	0.65	0.64	0.53	0.54	0.48	0.33	0.31	0.3	0.26	0.23	0.24		
2012	0.48	0.59	0.61	0.56	0.42	0.37	0.37	0.39	0.39	0.4			
2013	0.59	0.56	0.46	0.39	0.37	0.32	0.34	0.31	0.32				
2014	0.57	0.42	0.36	0.32	0.3	0.29	0.3	0.29					
2015	0.48	0.36	0.36	0.33	0.31	0.29	0.28						
2016	0.49	0.35	0.34	0.33	0.31	0.3							
2017	0.47	0.33	0.32	0.31	0.29								
2018	0.59	0.41	0.34	0.3									
2019	0.64	0.44	0.37										
2020	0.72	0.51											
2021	0.71												
